,name,value,,,
1,TotCases.1Mpop,293206,,,
2,TotRecovered.1Mpop,283634,,,
3,TotCases.1Mpop,31698,,,
4,TotRecovered.1Mpop,31294,,,
5,TotCases.1Mpop,538892,,,
6,TotRecovered.1Mpop,526452,,,
7,TotCases.1Mpop,161162,,,
8,TotRecovered.1Mpop,157131,,,
9,TotCases.1Mpop,397126,,,
10,TotRecovered.1Mpop,385239,,,
11,TotCases.1Mpop,482547,,,
12,TotRecovered.1Mpop,467826,,,
13,TotCases.1Mpop,344857,,,
14,TotRecovered.1Mpop,340855,,,
15,TotCases.1Mpop,372250,,,
16,TotRecovered.1Mpop,361411,,,
17,TotCases.1Mpop,169043,,,
18,TotRecovered.1Mpop,162281,,,
19,TotCases.1Mpop,143674,,,
20,TotRecovered.1Mpop,137030,,,
21,TotCases.1Mpop,197211,,,
22,TotRecovered.1Mpop,195815,,,
23,TotCases.1Mpop,287083,,,
24,TotRecovered.1Mpop,282944,,,
25,TotCases.1Mpop,115993,,,
26,TotRecovered.1Mpop,107029,,,
27,TotCases.1Mpop,391627,,,
28,TotRecovered.1Mpop,388721,,,
29,TotCases.1Mpop,211006,,,
30,TotRecovered.1Mpop,207853,,,
31,TotCases.1Mpop,489345,,,
32,TotRecovered.1Mpop,485866,,,
33,TotCases.1Mpop,87748,,,
34,TotRecovered.1Mpop,85156,,,
35,TotCases.1Mpop,53849,,,
36,TotRecovered.1Mpop,48296,,,
37,TotCases.1Mpop,23035,,,
38,TotRecovered.1Mpop,22403,,,
39,TotCases.1Mpop,268661,,,
40,TotRecovered.1Mpop,234555,,,
41,TotCases.1Mpop,122443,,,
42,TotRecovered.1Mpop,119091,,,
43,TotCases.1Mpop,166659,,,
44,TotRecovered.1Mpop,141388,,,
45,TotCases.1Mpop,541453,,,
46,TotRecovered.1Mpop,532000,,,
47,TotCases.1Mpop,119865,,,
48,TotRecovered.1Mpop,115150,,,
49,TotCases.1Mpop,564539,,,
50,TotRecovered.1Mpop,552193,,,
51,TotCases.1Mpop,476918,,,
52,TotRecovered.1Mpop,468845,,,
53,TotCases.1Mpop,145832,,,
54,TotRecovered.1Mpop,143978,,,
55,TotCases.1Mpop,183636,,,
56,TotRecovered.1Mpop,183633,,,
57,TotCases.1Mpop,66801,,,
58,TotRecovered.1Mpop,66241,,,
59,TotCases.1Mpop,499796,,,
60,TotRecovered.1Mpop,497683,,,
61,TotCases.1Mpop,240017,,,
62,TotRecovered.1Mpop,235888,,,
63,TotCases.1Mpop,388511,,,
64,TotRecovered.1Mpop,381510,,,
65,TotCases.1Mpop,110280,,,
66,TotRecovered.1Mpop,107620,,,
67,TotCases.1Mpop,122998,,,
68,TotRecovered.1Mpop,116215,,,
69,TotCases.1Mpop,381910,,,
70,TotRecovered.1Mpop,375842,,,
71,TotCases.1Mpop,465520,,,
72,TotRecovered.1Mpop,457374,,,
73,TotCases.1Mpop,66146,,,
74,TotRecovered.1Mpop,64344,,,
75,TotCases.1Mpop,35069,,,
76,TotRecovered.1Mpop,34259,,,
77,TotCases.1Mpop,171684,,,
78,TotRecovered.1Mpop,167099,,,
79,TotCases.1Mpop,533138,,,
80,TotRecovered.1Mpop,530150,,,
81,TotCases.1Mpop,253298,,,
82,TotRecovered.1Mpop,249352,,,
83,TotCases.1Mpop,58342,,,
84,TotRecovered.1Mpop,57719,,,
85,TotCases.1Mpop,272683,,,
86,TotRecovered.1Mpop,265634,,,
87,TotCases.1Mpop,217998,,,
88,TotRecovered.1Mpop,209673,,,
89,TotCases.1Mpop,12059,,,
90,TotRecovered.1Mpop,11701,,,
91,TotCases.1Mpop,320380,,,
92,TotRecovered.1Mpop,306410,,,
93,TotCases.1Mpop,337574,,,
94,TotRecovered.1Mpop,332944,,,
95,TotCases.1Mpop,448679,,,
96,TotRecovered.1Mpop,412548,,,
97,TotCases.1Mpop,363292,,,
98,TotRecovered.1Mpop,360879,,,
99,TotCases.1Mpop,231630,,,
