Country,Variable,Value
United States of America,TotalDeaths,1084282
India,TotalDeaths,528629
France,TotalDeaths,155078
Brazil,TotalDeaths,686027
Germany,TotalDeaths,149948
South Korea,TotalDeaths,28406
United Kingdom,TotalDeaths,189919
Italy,TotalDeaths,177054
Japan,TotalDeaths,44678
Russia,TotalDeaths,387163
Turkey,TotalDeaths,101139
Spain,TotalDeaths,114084
Vietnam,TotalDeaths,43148
Australia,TotalDeaths,14984
Argentina,TotalDeaths,129897
Netherlands,TotalDeaths,22643
Iran,TotalDeaths,144421
Mexico,TotalDeaths,330065
Indonesia,TotalDeaths,158093
Taiwan,TotalDeaths,11003
Colombia,TotalDeaths,141794
Poland,TotalDeaths,117539
Portugal,TotalDeaths,25024
Ukraine,TotalDeaths,109206
Austria,TotalDeaths,20738
Greece,TotalDeaths,33111
Malaysia,TotalDeaths,36369
North Korea,TotalDeaths,74
Thailand,TotalDeaths,32767
Israel,TotalDeaths,11698
Chile,TotalDeaths,61141
Belgium,TotalDeaths,32659
Canada,TotalDeaths,44992
Peru,TotalDeaths,216539
Czechia,TotalDeaths,41059
Switzerland,TotalDeaths,14183
South Africa,TotalDeaths,102185
Philippines,TotalDeaths,62916
Romania,TotalDeaths,67016
Denmark,TotalDeaths,7065
Sweden,TotalDeaths,20194
Iraq,TotalDeaths,25355
Serbia,TotalDeaths,17000
Hungary,TotalDeaths,47503
Bangladesh,TotalDeaths,29362
Singapore,TotalDeaths,1617
Slovakia,TotalDeaths,20455
Georgia,TotalDeaths,16900
New Zealand,TotalDeaths,2959
Hong Kong,TotalDeaths,10153
Jordan,TotalDeaths,14122
Ireland,TotalDeaths,7905
Pakistan,TotalDeaths,30616
Norway,TotalDeaths,4098
Kazakhstan,TotalDeaths,13690
Finland,TotalDeaths,5981
Morocco,TotalDeaths,16278
Bulgaria,TotalDeaths,37714
Lithuania,TotalDeaths,9320
Croatia,TotalDeaths,16902
Lebanon,TotalDeaths,10674
Slovenia,TotalDeaths,6820
Tunisia,TotalDeaths,29249
Guatemala,TotalDeaths,19789
Cuba,TotalDeaths,8530
Bolivia,TotalDeaths,22234
Costa Rica,TotalDeaths,8913
United Arab Emirates,TotalDeaths,2345
Ecuador,TotalDeaths,35894
Nepal,TotalDeaths,12018
Belarus,TotalDeaths,7118
Panama,TotalDeaths,8497
Uruguay,TotalDeaths,7485
Mongolia,TotalDeaths,2179
Latvia,TotalDeaths,5990
Azerbaijan,TotalDeaths,9910
Saudi Arabia,TotalDeaths,9351
Paraguay,TotalDeaths,19583
Bahrain,TotalDeaths,1520
Sri Lanka,TotalDeaths,16761
Kuwait,TotalDeaths,2563
Dominican Republic,TotalDeaths,4384
Myanmar,TotalDeaths,19458
Palestine,TotalDeaths,5403
Estonia,TotalDeaths,2681
Moldova,TotalDeaths,11844
Cyprus,TotalDeaths,1180
Venezuela,TotalDeaths,5814
Egypt,TotalDeaths,24613
Libya,TotalDeaths,6437
Ethiopia,TotalDeaths,7572
Réunion,TotalDeaths,893
Honduras,TotalDeaths,10993
Qatar,TotalDeaths,682
Armenia,TotalDeaths,8683
Bosnia and Herzegovina,TotalDeaths,16136
Oman,TotalDeaths,4260
Macedonia [FYROM],TotalDeaths,9534
Kenya,TotalDeaths,5678
Zambia,TotalDeaths,4017
Albania,TotalDeaths,3588
Botswana,TotalDeaths,2789
Luxembourg,TotalDeaths,1123
Montenegro,TotalDeaths,2781
Algeria,TotalDeaths,6879
Nigeria,TotalDeaths,3155
Zimbabwe,TotalDeaths,5602
China,TotalDeaths,5226
Uzbekistan,TotalDeaths,1637
Mozambique,TotalDeaths,2221
Brunei,TotalDeaths,225
Martinique,TotalDeaths,1044
Laos,TotalDeaths,758
Kyrgyzstan,TotalDeaths,2991
Iceland,TotalDeaths,213
El Salvador,TotalDeaths,4229
Afghanistan,TotalDeaths,7799
Guadeloupe,TotalDeaths,989
Maldives,TotalDeaths,308
Trinidad and Tobago,TotalDeaths,4195
Uganda,TotalDeaths,3628
Namibia,TotalDeaths,4065
Ghana,TotalDeaths,1459
Jamaica,TotalDeaths,3317
Cambodia,TotalDeaths,3056
Rwanda,TotalDeaths,1466
Cameroon,TotalDeaths,1935
Malta,TotalDeaths,806
Angola,TotalDeaths,1917
Barbados,TotalDeaths,559
French Guiana,TotalDeaths,410
Dem. Rep. Congo,TotalDeaths,1442
Senegal,TotalDeaths,1968
Malawi,TotalDeaths,2682
Côte d'Ivoire,TotalDeaths,826
Suriname,TotalDeaths,1385
French Polynesia,TotalDeaths,649
New Caledonia,TotalDeaths,314
Swaziland,TotalDeaths,1422
Guyana,TotalDeaths,1281
Belize,TotalDeaths,683
Fiji,TotalDeaths,878
Madagascar,TotalDeaths,1410
Sudan,TotalDeaths,4961
Mauritania,TotalDeaths,995
Cape Verde,TotalDeaths,410
Bhutan,TotalDeaths,21
Syria,TotalDeaths,3163
Burundi,TotalDeaths,38
Gabon,TotalDeaths,306
Seychelles,TotalDeaths,169
Andorra,TotalDeaths,155
Papua New Guinea,TotalDeaths,668
Aruba,TotalDeaths,227
Mauritius,TotalDeaths,1024
Mayotte,TotalDeaths,187
Tanzania,TotalDeaths,845
Togo,TotalDeaths,285
Isle of Man,TotalDeaths,116
Guinea,TotalDeaths,449
Bahamas,TotalDeaths,833
Faroe Islands,TotalDeaths,28
Lesotho,TotalDeaths,706
Haiti,TotalDeaths,857
Mali,TotalDeaths,742
Cayman Islands,TotalDeaths,32
Saint Lucia,TotalDeaths,391
Benin,TotalDeaths,163
Somalia,TotalDeaths,1352
Congo,TotalDeaths,386
Timor-Leste,TotalDeaths,138
Burkina Faso,TotalDeaths,387
Solomon Islands,TotalDeaths,153
San Marino,TotalDeaths,118
Gibraltar,TotalDeaths,108
Liechtenstein,TotalDeaths,86
Grenada,TotalDeaths,237
Nicaragua,TotalDeaths,225
Bermuda,TotalDeaths,148
S. Sudan,TotalDeaths,138
Tajikistan,TotalDeaths,125
Equatorial Guinea,TotalDeaths,183
Tonga,TotalDeaths,12
Samoa,TotalDeaths,29
Dominica,TotalDeaths,74
Djibouti,TotalDeaths,189
Marshall Islands,TotalDeaths,17
Central African Rep.,TotalDeaths,113
Monaco,TotalDeaths,63
Gambia,TotalDeaths,372
Greenland,TotalDeaths,21
Yemen,TotalDeaths,2157
Vanuatu,TotalDeaths,14
Eritrea,TotalDeaths,103
Niger,TotalDeaths,312
Micronesia,TotalDeaths,29
