Country,TotalCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Critical,TotRecovered/1Mpop,TotCases/1Mpop,Deaths/1Mpop,TotalTests,Deaths/Case,Tests/1Mpop,Cases/Test,Population,latitude,longitude
United States of America,98166904,1084282,,94962112,2120510,2970,283633.8636,293206,3239,1118158870,0.011045291,3339729,0.087793342,334805269,37.09024,-95.712891
India,44587307,528629,,44019095,39583,698,31293.97171,31698,376,894416853,0.011856042,635857,0.049850701,1406631776,20.593684,78.96288
France,35342950,155078,,34527115,660757,869,526452.2185,538892,2365,271490188,0.004387806,4139547,0.130181316,65584518,46.227638,2.213749
Brazil,34706757,686027,,33838636,182094,8318,157130.5848,161162,3186,63776166,0.019766382,296146,0.544196354,215353593,-14.235004,-51.92528
Germany,33312373,149948,,32315200,847225,1406,385238.6109,397126,1788,122332384,0.00450127,1458359,0.272310339,83883596,51.165691,10.451526
South Korea,24769101,28406,42,24013461,727234,352,467825.9936,482547,553,15804065,0.001146832,307892,1.567261398,51329899,35.907757,127.766922
United Kingdom,23621952,189919,,23347871,84162,146,340855.2469,344857,2773,522526476,0.008039937,7628357,0.045207187,68497907,55.378051,-3.435973
Italy,22432803,177054,,21779604,476145,141,361410.6023,372250,2938,246636495,0.007892638,4092684,0.090954921,60262770,41.87194,12.56738
Japan,21229216,44678,,20380089,804449,204,162281.4452,169043,356,76201407,0.002104553,606772,0.278593491,125584838,36.204824,138.252924
Russia,20948470,387163,,19979763,581544,2300,137029.8222,143674,2655,273400000,0.018481684,1875095,0.076622056,145805947,61.52401,105.318756
Turkey,16873793,101139,,16754301,18353,975,195814.7975,197211,1182,162743369,0.005993851,1902052,0.103683444,85561976,38.963745,35.243322
Spain,13412263,114084,,13218892,79287,339,282943.8092,287083,2442,471036328,0.008505947,10082298,0.028473946,46719142,40.463667,-3.74922
Vietnam,11477886,43148,,10590917,843821,106,107029.1866,115993,436,85826548,0.003759229,867342,0.133733516,98953541,14.058324,108.277199
Australia,10209239,14984,,10133494,60761,49,388721.2725,391627,575,78835048,0.00146769,3024116,0.129501272,26068792,-25.274398,133.775136
Argentina,9708420,129897,,9563348,15175,294,207852.6269,211006,2823,35716069,0.013379829,776264,0.271822187,46010234,-38.416097,-63.616672
Netherlands,8422336,22643,,8362464,37229,35,485866.412,489345,1316,21107399,0.002688447,1226358,0.399022921,17211447,52.132633,5.291266
Iran,7548320,144421,,7325370,78529,157,85156.10802,87748,1679,54095556,0.019132867,628851,0.139536786,86022837,32.427908,53.688046
Mexico,7084488,330065,,6353953,400470,4798,48295.97996,53849,2509,18393211,0.046589817,139806,0.385168636,131562772,23.634501,-102.552784
Indonesia,6429767,158093,,6253317,18357,2771,22402.5224,23035,566,108656989,0.024587672,389264,0.059174905,279134505,-0.789275,113.921327
