Country,TotalCases,"Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious,
Critical",TotCases/1Mpop,"Deaths/
1M pop","Total
Tests","Tests/
1M pop",Population,latitude,longitude
United States of America,98166904,1084282,,94962112,2120510,2970,293206,3239,1118158870,3339729,334805269,37.09024,-95.712891
India,44587307,528629,,44019095,39583,698,31698,376,894416853,635857,1406631776,20.593684,78.96288
France,35342950,155078,,34527115,660757,869,538892,2365,271490188,4139547,65584518,46.227638,2.213749
Brazil,34706757,686027,,33838636,182094,8318,161162,3186,63776166,296146,215353593,-14.235004,-51.92528
Germany,33312373,149948,,32315200,847225,1406,397126,1788,122332384,1458359,83883596,51.165691,10.451526
South Korea,24769101,28406,42,24013461,727234,352,482547,553,15804065,307892,51329899,35.907757,127.766922
United Kingdom,23621952,189919,,23347871,84162,146,344857,2773,522526476,7628357,68497907,55.378051,-3.435973
Italy,22432803,177054,,21779604,476145,141,372250,2938,246636495,4092684,60262770,41.87194,12.56738
Japan,21229216,44678,,20380089,804449,204,169043,356,76201407,606772,125584838,36.204824,138.252924
Russia,20948470,387163,,19979763,581544,2300,143674,2655,273400000,1875095,145805947,61.52401,105.318756
Turkey,16873793,101139,,16754301,18353,975,197211,1182,162743369,1902052,85561976,38.963745,35.243322
Spain,13412263,114084,,13218892,79287,339,287083,2442,471036328,10082298,46719142,40.463667,-3.74922
Vietnam,11477886,43148,,10590917,843821,106,115993,436,85826548,867342,98953541,14.058324,108.277199
Australia,10209239,14984,,10133494,60761,49,391627,575,78835048,3024116,26068792,-25.274398,133.775136
Argentina,9708420,129897,,9563348,15175,294,211006,2823,35716069,776264,46010234,-38.416097,-63.616672
Netherlands,8422336,22643,,8362464,37229,35,489345,1316,21107399,1226358,17211447,52.132633,5.291266
Iran,7548320,144421,,7325370,78529,157,87748,1679,54095556,628851,86022837,32.427908,53.688046
Mexico,7084488,330065,,6353953,400470,4798,53849,2509,18393211,139806,131562772,23.634501,-102.552784
Indonesia,6429767,158093,,6253317,18357,2771,23035,566,108656989,389264,279134505,-0.789275,113.921327
Taiwan,6417941,11003,,5603195,803743,,268661,461,25998416,1088319,23888595,23.69781,120.960515
Colombia,6307372,141794,,6134690,30888,342,122443,2753,36572720,709974,51512762,4.570868,-74.297333
Poland,6289672,117539,,5335940,836193,3086,166659,3114,37335609,989290,37739785,51.919438,19.145136
Portugal,5490639,25024,,5394788,70827,61,541453,2468,44988307,4436467,10140570,39.399872,-8.224454
Ukraine,5177217,109206,,4973554,94457,177,119865,2528,19521252,451963,43192122,48.379433,31.16558
Austria,5118512,20738,,5006572,91202,47,564539,2287,197543761,21787811,9066710,47.516231,14.550072
Greece,4920192,33111,,4836903,50178,115,476918,3209,94139966,9125063,10316637,39.074208,21.824312
Malaysia,4838872,36369,,4777329,25174,43,145832,1096,64604259,1947021,33181072,4.210484,101.975766
North Korea,4772813,74,,4772739,0,,183636,3,,,25990679,40.339852,127.510093
Thailand,4681309,32767,9,4642083,6459,1496,66801,468,17270775,246450,70078203,15.870032,100.992541
Israel,4661096,11698,,4641394,8004,101,499796,1254,41373364,4436346,9326000,31.046051,34.851612
Chile,4620377,61141,,4540886,18350,124,240017,3176,45128974,2344339,19250195,-35.675147,-71.542969
Belgium,4533249,32659,,4451569,49021,48,388511,2799,35555508,3047194,11668278,50.503887,4.469936
Canada,4233468,44992,,4131367,57109,99,110280,1172,64928884,1691366,38388419,56.130366,-106.346771
Peru,4143085,216539,,3914598,11948,147,122998,6429,35126382,1042815,33684208,-9.189967,-75.015152
Czechia,4100480,41059,,4035333,24088,39,381910,3824,56212735,5235528,10736784,49.817492,15.472962
Switzerland,4084307,14183,,4012833,57291,54,465520,1617,22318542,2543819,8773637,46.818188,8.227512
South Africa,4018769,102185,,3909265,7319,192,66146,1682,26174429,430811,60756135,-30.559482,22.937506
Philippines,3945566,62916,,3854478,28172,696,35069,559,32796350,291500,112508994,12.879721,121.774017
Romania,3267370,67016,,3180124,20230,123,171684,3521,25094131,1318569,19031335,45.943161,24.96676
Denmark,3110831,7065,,3093396,10370,,533138,1211,128397719,22004939,5834950,56.26392,9.501785
Sweden,2588441,20194,,2548125,20122,13,253298,1976,18965590,1855920,10218971,60.128161,18.643501
Iraq,2459982,25355,,2433704,923,21,58342,601,19239264,456286,42164965,33.223191,43.679291
Serbia,2359530,17000,,2298536,43994,33,272683,1965,11030499,1274758,8653016,44.016521,21.005859
Hungary,2094142,47503,,2014175,32464,18,217998,4945,11394556,1186160,9606259,47.162494,19.503304
Bangladesh,2024489,29362,,1964501,30626,1331,12059,175,14872260,88586,167885689,23.684994,90.356331
Singapore,1904192,1617,,1821160,81415,9,320380,272,24345019,4096043,5943546,1.352083,103.819836
Slovakia,1843220,20455,,1817938,4827,22,337574,3746,7298163,1336613,5460193,48.669026,19.699024
Georgia,1780691,16900,,1637293,126498,,448679,4258,16920079,4263340,3968738,42.315407,43.356892
New Zealand,1779476,2959,,1767660,8857,,363292,604,7544063,1540170,4898203,-40.900557,174.885971
Hong Kong,1761381,10153,,1469240,281988,8,231630,1335,54352132,7147553,7604299,22.396428,114.109497
Jordan,1746997,14122,,1731007,1868,59,169597,1371,17201885,1669945,10300869,30.585164,36.238414
Ireland,1663653,7905,,1648405,7343,13,331392,1575,12708583,2531490,5020199,53.41291,-8.24389
Pakistan,1572598,30616,3,1536924,5058,47,6853,133,30477451,132806,229488994,30.375321,69.345116
Norway,1462318,4098,,1457108,1112,20,265327,744,11002430,1996315,5511370,60.472024,8.468946
Kazakhstan,1393468,13690,,1378440,1338,24,72557,713,11575012,602707,19205043,48.019573,66.923684
Finland,1292940,5981,,1263711,23248,21,232754,1077,11505032,2071128,5554960,61.92411,25.748151
